시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
평택시,지제동,102,19,83,0,41,42,19,25,67,1.52,,2023-01-31
평택시,진위면,980,244,736,0,393,334,253,63,599,1.64,,2023-01-31
평택시,청룡동,39,5,34,0,20,15,4,11,19,2.05,,2023-01-31
평택시,청북면,177,10,167,0,68,95,14,30,135,1.31,,2023-01-31
평택시,청북읍,1692,247,1445,0,716,689,287,70,1144,1.48,,2023-01-31
평택시,칠괴동,98,13,85,0,37,45,16,23,63,1.56,,2023-01-31
평택시,칠원동,549,51,498,0,249,221,79,40,390,1.41,,2023-01-31
평택시,통복동,629,67,562,2,285,259,87,52,467,1.35,,2023-01-31
평택시,팽성읍,2500,410,2090,2,1186,843,473,100,1638,1.53,,2023-01-31
평택시,평택동,490,44,446,0,253,179,58,48,351,1.4,,2023-01-31
평택시,포승읍,1747,188,1559,1,805,743,200,74,1212,1.44,,2023-01-31
평택시,합계,39612,4897,34715,21,18765,15077,5791,154,28273,1.4,,2023-01-31
평택시,합정동,1536,166,1370,1,789,549,199,66,1083,1.42,,2023-01-31
평택시,현덕면,398,83,315,0,131,167,100,41,244,1.63,,2023-01-31
포천시,가산면,598,1,597,0,422,120,56,59,242,2.47,0,2021-08-24
포천시,관인면,139,1,138,0,46,43,50,23,91,1.53,0,2021-08-24
포천시,군내면,739,3,735,1,423,94,222,58,351,2.1,1,2021-08-24
포천시,내촌면,257,7,250,0,136,58,63,38,129,1.99,0,2021-08-24
포천시,동교동,73,0,73,0,52,18,3,25,40,1.83,0,2021-08-24
포천시,선단동,858,10,847,1,623,129,106,54,532,1.61,1,2021-08-24
포천시,설운동,68,0,68,0,43,7,18,20,38,1.79,0,2021-08-24
포천시,소흘읍,3892,15,3876,1,2679,1013,200,86,1712,2.27,3,2021-08-24
포천시,신북면,951,6,942,3,625,102,224,63,530,1.79,0,2021-08-24
포천시,신읍동,1292,11,1281,0,942,116,234,57,842,1.53,2,2021-08-24
포천시,어룡동,195,2,193,0,138,25,32,37,95,2.05,0,2021-08-24
포천시,영북면,427,8,419,0,229,104,94,45,286,1.49,0,2021-08-24
포천시,영중면,489,18,470,1,311,58,120,40,160,3.06,0,2021-08-24
포천시,이동면,339,6,332,1,162,68,109,42,198,1.71,0,2021-08-24
포천시,일동면,509,7,502,0,280,65,164,54,306,1.66,0,2021-08-24
