시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
가평군,가평읍,1508,,,,984,462,62,,1011,,1,2022-12-31
가평군,북면,455,,,,288,134,33,,278,,0,2022-12-31
가평군,상면,778,,,,489,239,50,,465,,0,2022-12-31
가평군,설악면,1589,,,,746,774,69,,907,,1,2022-12-31
가평군,조종면,768,,,,480,243,45,,481,,1,2022-12-31
가평군,청평면,1370,,,,895,383,92,,882,,2,2022-12-31
고양시,가좌동,1354,6,1347,1,848,348,158,64,952,1.42,,2022-06-03
고양시,강매동,63,0,63,0,57,5,1,15,30,2.1,,2022-06-03
고양시,고양동,1577,19,1557,1,968,510,99,63,1182,1.33,,2022-06-03
고양시,관산동,1184,15,1169,0,672,442,70,60,855,1.38,,2022-06-03
고양시,구산동,152,2,150,0,97,42,13,31,90,1.69,,2022-06-03
고양시,내곡동,84,2,82,0,54,25,5,24,55,1.53,,2022-06-03
고양시,내유동,1233,18,1215,0,719,433,81,66,846,1.46,,2022-06-03
고양시,대자동,165,5,160,0,86,64,15,34,119,1.39,,2022-06-03
고양시,대장동,112,1,111,0,67,38,7,25,76,1.47,,2022-06-03
고양시,대화동,3964,28,3935,1,2619,1112,233,100,2950,1.34,,2022-06-03
고양시,덕은동,177,3,174,0,81,86,10,43,115,1.54,,2022-06-03
고양시,덕이동,2546,14,2532,0,1513,899,134,87,1697,1.5,,2022-06-03
고양시,도내동,1013,10,1003,0,558,413,42,56,779,1.3,,2022-06-03
고양시,동산동,1315,7,1308,0,719,518,78,63,716,1.84,,2022-06-03
고양시,마두동,2878,33,2840,5,1884,857,137,73,2296,1.25,,2022-06-03
고양시,문봉동,138,2,136,0,76,54,8,36,91,1.52,,2022-06-03
고양시,백석동,4380,40,4339,1,2764,1343,273,99,3231,1.36,,2022-06-03
고양시,법곳동,124,3,121,0,82,30,12,30,82,1.51,,2022-06-03
고양시,벽제동,253,1,252,0,167,74,12,35,142,1.78,,2022-06-03
고양시,북한동,6,0,6,0,1,4,1,4,4,1.5,,2022-06-03
고양시,사리현동,503,6,497,0,262,202,39,48,346,1.45,,2022-06-03
고양시,산황동,29,0,29,0,19,8,2,14,21,1.38,,2022-06-03
고양시,삼송동,1307,18,1287,2,681,532,94,69,941,1.39,,2022-06-03
고양시,선유동,84,1,83,0,64,19,1,18,22,3.82,,2022-06-03
고양시,설문동,283,5,277,1,176,90,17,44,154,1.84,,2022-06-03
고양시,성사동,2021,21,1999,1,1175,776,70,75,1553,1.3,,2022-06-03
고양시,성석동,1054,8,1045,1,662,312,80,69,644,1.64,,2022-06-03
고양시,식사동,2919,16,2901,2,1613,1117,189,86,2244,1.3,,2022-06-03
고양시,신원동,1181,21,1160,0,603,513,65,58,903,1.31,,2022-06-03
고양시,신평동,17,0,17,0,11,4,2,10,8,2.13,,2022-06-03
고양시,오금동,126,0,126,0,64,57,5,30,86,1.47,,2022-06-03
고양시,용두동,150,2,148,0,71,61,18,36,90,1.67,,2022-06-03
고양시,원당동,130,0,130,0,81,45,4,29,85,1.53,,2022-06-03
고양시,원흥동,1190,42,1148,0,626,492,72,65,867,1.37,,2022-06-03
고양시,일산동,5115,33,5081,1,3274,1547,294,86,3968,1.29,,2022-06-03
고양시,장항동,3771,40,3731,0,2264,1265,242,86,2609,1.45,,2022-06-03
고양시,정발산동,1963,19,1944,0,1264,578,121,77,1456,1.35,,2022-06-03
고양시,주교동,1346,13,1332,1,812,489,45,65,1015,1.33,,2022-06-03
고양시,주엽동,3668,28,3639,1,2282,1197,189,83,2942,1.25,,2022-06-03
고양시,중산동,3170,19,3148,3,2015,913,242,81,2435,1.3,,2022-06-03
고양시,지영동,53,0,53,0,34,17,2,21,38,1.39,,2022-06-03
고양시,지축동,456,10,445,1,255,173,28,41,318,1.43,,2022-06-03
고양시,탄현동,3664,24,3640,0,2312,1067,285,92,2861,1.28,,2022-06-03
고양시,토당동,2610,43,2567,0,1988,534,88,86,1628,1.6,,2022-06-03
고양시,풍동,2755,28,2726,1,1763,795,197,84,2133,1.29,,2022-06-03
고양시,행신동,5756,52,5701,3,3780,1683,293,93,4620,1.25,,2022-06-03
고양시,행주내동,81,4,77,0,53,19,9,24,60,1.35,,2022-06-03
고양시,행주외동,52,0,52,0,29,11,12,16,33,1.58,,2022-06-03
고양시,향동동,609,4,605,0,315,254,40,47,477,1.28,,2022-06-03
고양시,현천동,120,5,115,0,54,48,18,38,67,1.79,,2022-06-03
고양시,화전동,234,3,231,0,128,86,20,36,152,1.54,,2022-06-03
고양시,화정동,4312,42,4267,3,2778,1351,183,95,3476,1.24,,2022-06-03
고양시,효자동,30,3,27,0,21,8,1,15,20,1.5,,2022-06-03
과천시,갈현동,95,3,91,1,57,29,9,27,66,1.44,,2022-08-25
과천시,과천동,333,35,298,0,180,107,46,44,227,1.47,1,2022-08-25
과천시,관문동,4,0,4,0,1,3,0,4,3,1.33,,2022-08-25
과천시,막계동,7,1,6,0,4,3,0,6,5,1.4,,2022-08-25
과천시,문원동,318,13,305,0,177,101,40,43,254,1.25,,2022-08-25
과천시,별양동,630,19,611,0,367,213,50,47,530,1.19,3,2022-08-25
과천시,부림동,468,29,439,0,240,171,57,42,384,1.22,2,2022-08-25
과천시,원문동,440,21,419,0,265,145,30,43,369,1.19,1,2022-08-25
과천시,주암동,207,10,197,0,87,98,22,35,147,1.41,,2022-08-25
과천시,중앙동,472,29,443,0,287,138,47,45,340,1.39,,2022-08-25
광명시,가학동,78,6,72,0,38,28,12,16,56,1.39,,2022-04-18
광명시,광명동,5833,589,5243,0,3159,1893,781,88,4519,1.29,2,2022-04-18
광명시,노온사동,71,9,61,0,36,18,17,19,50,1.42,,2022-04-18
광명시,소하동,4257,269,3988,0,2604,1298,355,85,3286,1.3,6,2022-04-18
광명시,옥길동,33,0,33,0,19,12,2,12,23,1.43,,2022-04-18
광명시,일직동,686,18,668,0,396,229,61,48,541,1.27,2,2022-04-18
광명시,철산동,4604,332,4271,0,2720,1297,587,78,3638,1.26,4,2022-04-18
광명시,하안동,4599,289,4309,0,2674,1539,386,77,3585,1.28,3,2022-04-18
광주시,경안동,1087,105,981,1,668,290,129,66,766,1.42,3,2023-02-14
광주시,곤지암읍,1761,213,1548,0,1046,457,258,79,1130,1.56,4,2023-02-14
광주시,남종면,132,36,95,1,53,40,39,32,66,2,,2023-02-14
광주시,남한산성면,198,17,181,0,136,38,24,26,101,1.96,,2023-02-14
광주시,도척면,783,167,614,2,382,215,186,69,446,1.76,,2023-02-14
광주시,목동,128,10,118,0,75,39,14,33,79,1.62,,2023-02-14
광주시,목현동,1157,114,1043,0,655,366,136,65,819,1.41,,2023-02-14
광주시,삼동,559,70,488,1,321,152,86,51,405,1.38,,2023-02-14
광주시,송정동,1686,146,1540,0,918,558,210,81,1232,1.37,4,2023-02-14
광주시,실촌읍,1,0,0,1,1,0,0,1,1,1,,2023-02-14
광주시,쌍령동,1143,91,1049,3,673,341,129,61,851,1.34,1,2023-02-14
광주시,역동,600,27,573,0,345,198,57,45,480,1.25,1,2023-02-14
광주시,오포읍,9131,624,8502,5,4813,2954,1364,124,6295,1.45,5,2023-02-14
광주시,장지동,868,67,799,2,499,254,115,57,628,1.38,1,2023-02-14
광주시,중대동,326,40,285,1,204,75,47,35,231,1.41,2,2023-02-14
광주시,중부면,47,12,35,0,17,20,10,16,18,2.61,,2023-02-14
광주시,직동,71,19,52,0,33,17,21,25,40,1.78,,2023-02-14
광주시,초월읍,4600,368,4230,2,3140,1022,438,109,2306,1.99,1,2023-02-14
광주시,탄벌동,1145,114,1031,0,664,331,150,65,860,1.33,1,2023-02-14
광주시,태전동,2251,191,2060,0,1232,783,236,81,1694,1.33,2,2023-02-14
광주시,퇴촌면,1404,139,1263,2,751,497,156,67,873,1.61,2,2023-02-14
광주시,회덕동,934,92,842,0,538,288,108,64,619,1.51,,2023-02-14
구리시,갈매동,1421,46,1375,0,780,551,90,54,1084,1.31,,2023-02-03
구리시,교문동,2795,116,2677,2,1597,1028,170,78,2063,1.35,,2023-02-03
구리시,사노동,82,15,67,0,32,36,14,17,51,1.61,,2023-02-03
구리시,수택동,3622,142,3480,0,2013,1345,264,89,2617,1.38,,2023-02-03
구리시,아천동,162,5,156,1,77,71,14,33,119,1.36,,2023-02-03
구리시,인창동,3463,148,3314,1,1802,1365,296,80,2687,1.27,,2023-02-03
구리시,토평동,836,25,811,0,418,363,55,50,658,1.33,,2023-02-03
군포시,금정동,3461,497,,2964,2152,941,368,,2663,1.3,,2022-09-30
군포시,당동,3434,545,,2889,2077,895,462,,2689,1.3,,2022-09-30
군포시,당정동,875,160,,715,486,279,110,,680,1.3,,2022-09-30
군포시,대야미동,518,85,,433,287,166,65,,407,1.3,,2022-09-30
군포시,도마교동,422,42,,380,227,150,45,,336,1.3,,2022-09-30
군포시,둔대동,24,4,,20,11,10,3,,15,1.6,,2022-09-30
군포시,부곡동,846,166,,680,424,311,111,,677,1.2,,2022-09-30
군포시,산본동,6572,964,,5608,3826,2046,700,,5285,1.2,,2022-09-30
군포시,속달동,35,11,,24,15,14,6,,23,1.5,,2022-09-30
김포시,감정동,381,10,371,0,212,152,17,37,322,1.18,2,2020-03-11
김포시,걸포동,118,14,104,0,67,37,14,22,89,1.33,0,2020-03-11
김포시,고촌읍,446,25,421,0,254,146,46,43,375,1.19,2,2020-03-11
김포시,구래동,790,34,756,0,376,343,71,51,652,1.21,4,2020-03-11
김포시,대곶면,252,30,222,0,119,97,36,42,148,1.7,0,2020-03-11
김포시,마산동,531,22,509,0,278,210,43,42,443,1.2,0,2020-03-11
김포시,북변동,342,16,326,0,166,153,23,35,280,1.22,2,2020-03-11
김포시,사우동,441,40,401,0,216,174,51,38,358,1.23,3,2020-03-11
김포시,양촌읍,566,48,518,0,246,250,70,50,433,1.31,3,2020-03-11
김포시,운양동,842,52,790,0,443,321,78,53,700,1.2,2,2020-03-11
김포시,월곶면,116,37,79,0,45,29,42,27,81,1.43,0,2020-03-11
김포시,장기동,1311,41,1270,0,666,572,73,52,1119,1.17,9,2020-03-11
김포시,통진읍,593,45,548,0,325,203,65,45,434,1.37,2,2020-03-11
김포시,풍무동,1018,27,991,0,492,439,87,49,853,1.19,6,2020-03-11
김포시,하성면,165,33,132,0,77,54,34,31,101,1.63,0,2020-03-11
남양주시,가운동,214,1,213,0,73,49,92,29,173,1.24,2,2023-02-22
남양주시,금곡동,1534,83,1451,0,939,445,150,66,1164,1.32,3,2023-02-22
남양주시,다산동,5384,172,5208,4,2717,2030,637,98,4084,1.32,5,2023-02-22
남양주시,도농동,1026,11,1014,1,577,208,241,51,837,1.23,4,2023-02-22
남양주시,별내동,5437,211,5226,0,2717,2325,395,90,4119,1.32,4,2023-02-22
남양주시,별내면,1218,25,1192,1,616,393,209,66,900,1.35,0,2023-02-22
남양주시,삼패동,106,2,103,1,75,24,7,27,48,2.21,2,2023-02-22
남양주시,수동면,1145,99,1042,4,709,242,194,84,586,1.95,2,2023-02-22
남양주시,수석동,43,0,43,0,25,11,7,20,31,1.39,0,2023-02-22
남양주시,오남읍,4999,226,4771,2,3446,1230,323,94,3688,1.36,4,2023-02-22
남양주시,와부읍,4857,338,4516,3,3157,1217,483,101,3520,1.38,4,2023-02-22
남양주시,이패동,73,5,68,0,40,22,11,28,59,1.24,0,2023-02-22
남양주시,일패동,221,3,218,0,99,79,43,38,116,1.91,0,2023-02-22
남양주시,조안면,376,44,331,1,241,86,49,58,230,1.63,0,2023-02-22
남양주시,지금동,172,0,172,0,90,56,26,26,138,1.25,1,2023-02-22
남양주시,진건읍,1855,161,1690,4,1197,436,222,77,1325,1.4,3,2023-02-22
남양주시,진접읍,7147,259,6881,7,4237,2304,606,100,5147,1.39,1,2023-02-22
남양주시,퇴계원면,1079,54,1025,0,788,228,63,53,850,1.27,0,2023-02-22
남양주시,퇴계원읍,737,24,713,0,459,244,34,61,514,1.43,2,2023-02-22
남양주시,평내동,3088,74,3013,1,1964,914,210,82,2349,1.31,1,2023-02-22
남양주시,호평동,3970,131,3838,1,2350,1179,441,100,3012,1.32,9,2023-02-22
남양주시,화도읍,9899,534,9362,3,6023,2608,1268,125,6627,1.49,7,2023-02-22
부천시,계수동,11,0,11,0,4,7,0,6,9,2.5,,2022-05-26
부천시,고강동,3667,93,3574,0,1980,1291,396,109,2712,2.66,3,2022-05-26
부천시,괴안동,2582,47,2535,0,1248,1136,198,97,2007,2.56,3,2022-05-26
부천시,내동,728,20,708,0,310,302,116,63,537,2.66,,2022-05-26
부천시,대장동,34,0,34,0,11,14,9,16,19,3.07,,2022-05-26
부천시,도당동,1592,25,1567,0,683,620,289,89,1234,2.56,1,2022-05-26
부천시,범박동,1099,41,1055,0,482,527,90,86,867,2.51,1,2022-05-26
부천시,삼정동,618,18,600,0,283,282,53,64,442,2.79,1,2022-05-26
부천시,상동,6717,177,6539,0,3670,2628,419,149,5293,2.51,14,2022-05-26
부천시,소사동,590,28,561,0,317,219,54,71,444,2.62,,2022-05-26
부천시,소사본동,4069,204,3862,0,2201,1521,347,113,3028,2.7,4,2022-05-26
부천시,송내동,3176,52,3121,0,2048,987,141,113,2490,2.52,5,2022-05-26
부천시,심곡동,3643,87,3555,0,1984,1384,275,120,2726,2.62,4,2022-05-26
부천시,심곡본동,2337,58,2279,0,1397,796,144,103,1762,2.61,2,2022-05-26
부천시,약대동,1059,20,1038,0,482,486,91,79,822,2.57,,2022-05-26
부천시,여월동,1499,33,1466,0,772,552,175,79,1142,2.59,1,2022-05-26
부천시,역곡동,2350,44,2304,0,1297,899,154,106,1827,2.56,2,2022-05-26
부천시,오정동,1806,38,1768,0,802,732,272,95,1327,2.67,,2022-05-26
부천시,옥길동,1098,33,1065,0,492,480,126,50,864,2.6,2,2022-05-26
부천시,원미동,2160,50,2105,0,1101,902,157,94,1607,2.65,2,2022-05-26
부천시,원종동,4422,85,4337,0,2350,1571,501,122,3343,2.62,4,2022-05-26
부천시,작동,866,23,843,0,456,341,69,88,617,2.76,,2022-05-26
부천시,중동,9727,200,9525,0,5106,3666,955,159,7308,2.62,27,2022-05-26
부천시,춘의동,1096,15,1080,0,596,393,107,75,839,2.59,1,2022-05-26
부천시,합계,56946,1391,55532,0,30072,21736,5138,2146,43266,63.12,77,2022-05-26
성남시,갈현동,30,5,25,0,18,8,4,16,25,1.2,,2022-04-30
성남시,고등동,301,21,280,0,180,93,28,44,214,1.41,,2022-04-30
성남시,구미동,2962,404,2555,3,1627,1147,188,89,2334,1.27,,2022-04-30
성남시,궁내동,184,28,156,0,108,61,15,38,136,1.35,,2022-04-30
성남시,금곡동,1882,287,1595,0,1054,718,110,68,1498,1.26,,2022-04-30
성남시,금광동,2394,233,2160,1,1594,634,166,63,1845,1.3,,2022-04-30
성남시,금토동,121,18,103,0,68,44,9,30,73,1.66,,2022-04-30
성남시,단대동,920,79,841,0,602,231,87,51,706,1.3,,2022-04-30
성남시,대장동,144,12,132,0,63,71,10,30,101,1.43,,2022-04-30
성남시,도촌동,963,84,879,0,577,322,64,48,801,1.2,,2022-04-30
성남시,동원동,68,5,63,0,37,26,5,24,53,1.28,,2022-04-30
성남시,둔전동,18,2,16,0,7,3,8,11,13,1.38,,2022-04-30
성남시,백현동,1431,170,1259,2,894,420,117,63,1113,1.29,,2022-04-30
성남시,복정동,640,46,591,3,423,163,54,54,486,1.32,,2022-04-30
성남시,분당동,1773,217,1556,0,1102,535,136,73,1369,1.3,,2022-04-30
성남시,사송동,71,5,66,0,46,21,4,26,56,1.27,,2022-04-30
성남시,산성동,714,100,613,1,427,212,75,49,543,1.31,,2022-04-30
성남시,삼평동,1151,131,1020,0,656,416,79,60,959,1.2,,2022-04-30
성남시,상대원동,3864,314,3550,0,2680,934,250,92,2902,1.33,,2022-04-30
성남시,상적동,80,6,74,0,43,23,14,27,50,1.6,,2022-04-30
성남시,서현동,3268,425,2839,4,1929,1037,302,88,2675,1.22,,2022-04-30
성남시,석운동,45,5,40,0,28,15,2,20,30,1.5,,2022-04-30
성남시,성남동,2347,226,2121,0,1611,537,199,82,1782,1.32,,2022-04-30
성남시,성남시 수정구,1,0,1,0,1,0,0,1,1,1,,2022-04-30
성남시,수내동,2768,375,2392,1,1572,1000,196,75,2252,1.23,,2022-04-30
성남시,수진동,2390,169,2220,1,1667,606,117,84,1628,1.47,,2022-04-30
성남시,시흥동,152,8,143,1,77,62,13,31,96,1.58,,2022-04-30
성남시,신촌동,52,8,44,0,30,13,9,18,37,1.41,,2022-04-30
성남시,신흥동,3293,285,3006,2,2212,828,253,79,2505,1.31,,2022-04-30
성남시,심곡동,167,9,158,0,108,45,14,40,124,1.35,,2022-04-30
성남시,야탑동,3452,440,3010,2,2090,1132,230,86,2678,1.29,,2022-04-30
성남시,양지동,609,64,544,1,379,197,33,49,491,1.24,,2022-04-30
성남시,여수동,534,45,487,2,210,287,37,53,430,1.24,,2022-04-30
성남시,오야동,70,9,61,0,33,26,11,22,49,1.43,,2022-04-30
성남시,운중동,1436,137,1299,0,867,463,106,77,977,1.47,,2022-04-30
성남시,율동,68,5,63,0,43,20,5,27,52,1.31,,2022-04-30
성남시,은행동,2566,266,2299,1,1702,683,181,77,1922,1.33,,2022-04-30
성남시,이매동,2187,244,1942,1,1309,656,222,74,1814,1.21,,2022-04-30
성남시,정자동,6082,475,5601,6,3761,1959,362,105,4801,1.27,,2022-04-30
성남시,중동,600,0,600,0,600,0,0,27,431,1.39,,2022-04-30
